,magnitude,data,hora,periodo,subnational,city,depth,felt,continent,latitude,longitude,mmi,cdi,impacto,magnitude_range,media por magnitude,label_periodo,label_continente,label_impacto,magnitude_por_depth,factor_magnitude_depth,magnitude_quadrada
127,0.6097560975609756,2024-01-01,09:03:48,Manhã,Ishikawa,Suzu,0.34961457125315504,5.4411108571926045e-06,Asia,0.7264974686452625,0.884303353061878,0.5,0.6666666666666666,Médio,0.5714285714285714,0.3948153806977336,0,1,2,0.3301171703776876,0.32582628634856653,0.5131610722047815
128,0.6341463414634146,2024-01-01,07:56:47,Manhã,Ishikawa,Wajima,0.34961457125315504,0.0,Asia,0.7241677104090845,0.8830045901483792,0.6666666666666665,0.0,Médio,0.5714285714285714,0.3948153806977336,0,1,2,0.33037286690145395,0.3316683462588909,0.5399661917411253
129,0.7804878048780489,2024-01-01,07:18:41,Manhã,Ishikawa,Anamizu,0.34961457125315504,2.7205554285963022e-05,Asia,0.7232647726429524,0.8827792340264022,0.6666666666666665,1.0,Alto,0.7142857142857142,0.33974358974358965,0,1,0,0.3319070460440519,0.3667207057208372,0.7109393866215892
130,0.6829268292682927,2024-01-01,07:06:05,Manhã,Ishikawa,Suzu,0.34961457125315504,5.4411108571926045e-06,Asia,0.7260433177688319,0.883873397302843,0.6666666666666665,0.4444444444444444,Médio,0.5714285714285714,0.3948153806977336,0,1,2,0.3308842599489866,0.3433524660795397,0.5950253561941561
131,0.5121951219512194,2024-07-28,04:35:12,Noite,Kon Tum,Kon Plong,0.2840575755508561,0.0003917599817178675,Asia,0.5228912603670218,0.7978941063443679,0.5,0.4444444444444444,Médio,0.5714285714285714,0.3948153806977336,1,1,2,0.33219711436746036,0.24519300705428732,0.4107703453272157
132,0.31707317073170727,2024-09-15,15:17:04,Tarde,Alaska,Chugach Census Area,0.5201582645473771,0.001071898838866943,North America,0.9325255169318711,0.04129057892801652,0.0,0.3333333333333333,Baixo,0.4285714285714285,0.19450780251911814,2,3,1,0.3233838310284952,0.38132585549664816,0.2291716976575706
133,0.12195121951219512,2024-09-11,06:36:48,Manhã,Alaska,Hoonah-Angoon Census Area,0.28139709393546625,0.00014690999314420031,North America,0.9177092915872125,0.0715950469096559,0.0,0.4444444444444444,Baixo,0.2857142857142857,0.22567207403956768,0,3,1,0.3272405816886393,0.16809066876980824,0.07848345810190774
134,0.024390243902439046,2024-09-05,01:46:36,Noite,Alaska,Palmer,0.42124292243672823,0.00025573221028805243,North America,0.9403971674574076,0.032317847018775714,0.0,0.3333333333333333,Baixo,0.2857142857142857,0.22567207403956768,1,3,1,0.32260476538247745,0.2236486585169931,0.01473074136681965
135,0.19512195121951215,2024-08-22,02:40:21,Noite,Alaska,Chugach Census Area,0.6531823453168701,0.00019043888000174115,North America,0.9383883544272111,0.04099702292702023,0.0,0.3333333333333333,Baixo,0.2857142857142857,0.22567207403956768,1,3,1,0.32119485229995653,0.4240897340402226,0.13136923448442403
136,0.07317073170731703,2024-08-20,17:50:08,Tarde,Alaska,Haines,0.01875980626236442,2.7205554285963022e-05,North America,0.9183547579903286,0.07809182668928139,0.0,0.3333333333333333,Baixo,0.2857142857142857,0.22567207403956768,2,3,1,0.5973109437435976,0.010296630591946722,0.045641149480801696
137,0.14634146341463417,2024-08-18,06:00:17,Manhã,Alaska,Yakutat,0.5303908861450304,0.0,North America,0.9274046976007781,0.05238343751111957,0.0,0.1111111111111111,Baixo,0.2857142857142857,0.22567207403956768,0,3,1,0.32207025244914883,0.3262936511413925,0.09562907510263227
138,0.1707317073170732,2024-08-14,03:57:06,Noite,Northwest Territories,"Region 1, Unorganized",0.3610068899652091,0.0,North America,1.0,0.07273368836806587,0.0,0.0,Baixo,0.2857142857142857,0.22567207403956768,1,3,1,0.32520885642744957,0.22788882559990653,0.11325766723013767
139,0.12195121951219512,2024-07-27,15:19:26,Tarde,Alaska,Northwest Arctic Borough,0.20294699502012414,0.0,North America,0.9977113656620813,0.0,0.16666666666666663,0.0,Baixo,0.2857142857142857,0.22567207403956768,2,3,1,0.33175451346623763,0.12106208649169699,0.07848345810190774
140,0.29268292682926844,2024-07-24,03:08:13,Noite,Alaska,Northwest Arctic Borough,0.1040316529094754,0.0,North America,0.9975128981530899,5.930424262556855e-06,0.16666666666666663,0.0,Baixo,0.4285714285714285,0.19450780251911814,1,3,1,0.3544082415100384,0.0732156158261403,0.20864525476937942
141,0.14634146341463417,2024-07-17,17:55:19,Tarde,Alaska,Yakutat,0.3769015621802306,1.0882221714385209e-05,North America,0.9188258948247361,0.06798045332163066,0.0,0.3333333333333333,Baixo,0.2857142857142857,0.22567207403956768,2,3,1,0.3245770796607662,0.23165228059413753,0.09562907510263227
142,0.6341463414634146,2024-04-18,15:11:25,Tarde,Tokat,Sulusaray,0.5542670032062215,5.985221942911865e-05,Asia,0.7483083326851849,0.583617796017127,0.5,0.7777777777777777,Médio,0.5714285714285714,0.3948153806977336,2,1,2,0.325003243258376,0.5279615592457901,0.5399661917411253
143,0.5853658536585368,2024-03-14,03:06:47,Noite,Opstina Niksic,Niksic,0.5565522886963641,0.0013493954925837659,Europe,0.7750960824122921,0.5323196261460544,0.5,1.0,Médio,0.5714285714285714,0.3948153806977336,1,2,2,0.32464763607556213,0.5113806248083075,0.48683892779521865
144,0.4390243902439025,2023-11-10,15:36:29,Tarde,Ilam Province,Murmuri,0.34961457125315504,5.4411108571926045e-06,Asia,0.6839387039356464,0.6181850529586886,0.33333333333333326,0.3333333333333333,Baixo,0.4285714285714285,0.19450780251911814,2,1,1,0.3283272947113234,0.28493186697629586,0.33904853900024146
145,0.5365853658536587,2023-08-10,17:48:01,Tarde,Malatya,Yesilyurt,0.34961457125315504,6.529333028631125e-05,Asia,0.7329449806941177,0.5902174686577077,0.5,0.6666666666666666,Médio,0.5714285714285714,0.3948153806977336,2,1,2,0.32935008080638867,0.3083001066175934,0.4356435643564358
146,0.6097560975609756,2023-07-25,05:44:51,Manhã,Adana,Kozan,0.4558974009141142,0.00015779221485858554,Asia,0.7267263320790545,0.5835501891805339,0.5,0.6666666666666666,Médio,0.5714285714285714,0.3948153806977336,0,1,2,0.3267761184691368,0.4259475090917058,0.5131610722047815
147,0.4390243902439025,2024-09-17,00:49:42,Noite,Texas,Tarzan-Lenorah,0.14646292380107784,0.0103000228526656,North America,0.680375228751684,0.1743485428947587,0.33333333333333326,0.6666666666666666,Baixo,0.4285714285714285,0.19450780251911814,1,3,1,0.3464035526301975,0.1179143846120142,0.33904853900024146
148,0.5121951219512194,2024-09-17,00:49:42,Noite,Texas,Tarzan-Lenorah,0.21754212429224368,0.011110748370387299,North America,0.680514692406651,0.1743099951370521,0.33333333333333326,0.6666666666666666,Médio,0.5714285714285714,0.3948153806977336,1,3,2,0.3373344217494674,0.18709074179555713,0.4107703453272157
149,0.2195121951219512,2024-09-14,17:01:06,Tarde,Texas,Van Horn,0.22008322532232755,2.7205554285963022e-05,North America,0.6736577293707775,0.16721424250690892,0.16666666666666663,0.3333333333333333,Baixo,0.2857142857142857,0.22567207403956768,2,3,1,0.3321317641907327,0.14582868159312976,0.14996377686549142
150,0.2682926829268292,2024-09-14,17:01:06,Tarde,Texas,Van Horn,0.30916160720376556,2.1764443428770418e-05,North America,0.6735263116959048,0.16714604262788962,0.16666666666666663,0.3333333333333333,Baixo,0.4285714285714285,0.19450780251911814,2,3,1,0.3279480708555041,0.21562984708408187,0.18860178700796906
151,0.19512195121951215,2024-09-10,18:03:00,Noite,Texas,Van Horn,0.21833344702912882,2.7205554285963022e-05,North America,0.6736040895034825,0.16749297244724892,0.16666666666666663,0.3333333333333333,Baixo,0.2857142857142857,0.22567207403956768,1,3,1,0.33185016113206317,0.14106635119543148,0.13136923448442403
152,0.07317073170731703,2024-09-09,09:50:37,Manhã,Texas,Van Horn,0.24806262364417764,5.4411108571926045e-06,North America,0.6731123907199453,0.16691772129378135,0.16666666666666663,0.3333333333333333,Baixo,0.2857142857142857,0.22567207403956768,0,3,1,0.3280691572644728,0.13990220391710118,0.045641149480801696
153,0.19512195121951215,2024-09-08,02:37:22,Noite,Texas,Van Horn,0.216587079609796,1.0882221714385209e-05,North America,0.6738007690168974,0.16720831208264642,0.16666666666666663,0.3333333333333333,Baixo,0.2857142857142857,0.22567207403956768,1,3,1,0.3319827484222937,0.1399297200192788,0.13136923448442403
154,0.2195121951219512,2024-09-08,02:37:22,Noite,Texas,Van Horn,0.34961457125315504,5.4411108571926045e-06,North America,0.6735102197357163,0.16716679911280857,0.16666666666666663,0.3333333333333333,Baixo,0.2857142857142857,0.22567207403956768,1,3,1,0.32602602599742647,0.23235332778337645,0.14996377686549142
155,0.09756097560975607,2024-08-31,10:01:04,Manhã,Texas,Pecos,0.216587079609796,0.0,North America,0.6733090702333602,0.16857824008729588,0.16666666666666663,0.0,Baixo,0.2857142857142857,0.22567207403956768,0,3,1,0.3303060234905302,0.12567532752048374,0.06182081622796423
156,0.14634146341463417,2024-08-31,10:01:04,Manhã,Texas,Pecos,0.340200559383314,0.0,North America,0.6733493001338314,0.16859010093582094,0.16666666666666663,0.0,Baixo,0.2857142857142857,0.22567207403956768,0,3,1,0.3255202073071881,0.209022477325505,0.09562907510263227
157,0.14634146341463417,2024-08-31,07:56:25,Manhã,Texas,Van Horn,0.3221229278941265,0.0,North America,0.6736532593818363,0.1675433810534806,0.16666666666666663,0.0,Baixo,0.2857142857142857,0.22567207403956768,0,3,1,0.3260659064352534,0.1978758270166061,0.09562907510263227
158,0.07317073170731703,2024-08-31,07:56:24,Manhã,Texas,Van Horn,0.216587079609796,0.0,North America,0.6738007690168974,0.16745145947741102,0.16666666666666663,0.0,Baixo,0.2857142857142857,0.22567207403956768,0,3,1,0.32988684225758924,0.12211172939578496,0.045641149480801696
159,0.2195121951219512,2024-08-28,19:57:22,Noite,Texas,Van Horn,0.23932055392591584,0.0,North America,0.6738007690168974,0.16747221596232997,0.16666666666666663,0.0,Baixo,0.2857142857142857,0.22567207403956768,1,3,1,0.33079162413451546,0.15867887657187926,0.14996377686549142
160,0.2195121951219512,2024-08-23,03:21:38,Noite,Texas,Van Horn,0.216587079609796,1.6323332571577813e-05,North America,0.67373818917172,0.16719348602199002,0.33333333333333326,0.3333333333333333,Baixo,0.2857142857142857,0.22567207403956768,1,3,1,0.3324019296552346,0.14349331814397756,0.14996377686549142
161,0.29268292682926844,2024-08-23,03:21:38,Noite,Texas,Van Horn,0.17907087795893306,5.4411108571926045e-06,North America,0.6734047279967029,0.16723499899182787,0.16666666666666663,0.1111111111111111,Baixo,0.4285714285714285,0.19450780251911814,1,3,1,0.33753234808844595,0.1271962493975376,0.20864525476937942
